year,gender,age,cgpa,study_hour,credit,extra_curricular,extra_curricular_hour,job,job_hour,stress_lv,anxiety_lv,sleep_hour,sleep_lv
3.0,Male,23,3.55,30.0,15.0,No,,No,,5,5,6.5,7
3.0,Female,22,3.55,10.0,63.0,No,,No,,5,4,5.0,6
3.0,Male,24,3.55,1.0,12.0,Yes,5.0,No,,2,1,4.0,3
3.0,Male,24,3.55,1.0,12.0,Yes,6.0,No,,2,1,4.0,3
3.0,Male,22,3.9,20.0,12.0,No,,No,,5,5,4.0,4
3.0,Male,22,3.35,5.0,12.5,Yes,2.0,No,,5,5,4.0,5
3.0,Male,24,4.0,4.0,12.0,No,,Yes,25.0,2,1,5.0,5
3.0,Female,22,3.32,42.0,12.0,No,,No,,4,5,5.0,4
3.0,Female,22,3.55,2.0,13.0,No,,Yes,40.0,3,3,8.0,7
3.0,Female,23,3.55,30.0,15.0,No,,No,,5,5,3.5,2
3.0,Female,23,3.55,32.5,15.0,No,,No,,5,5,3.5,2
3.0,Female,24,3.55,10.0,12.0,No,,No,,3,3,8.0,8
3.0,Female,23,3.55,4.5,94.0,Yes,1.5,No,,3,4,7.0,5
3.0,Male,23,3.52,6.0,12.0,No,,No,,4,1,4.0,3
3.0,Male,23,3.55,12.5,9.0,No,,Yes,4.5,5,5,4.0,3
3.0,Female,23,3.81,35.0,70.5,No,,No,,5,5,5.5,4
3.0,Male,24,3.29,35.0,3.0,No,,No,,2,2,6.5,2
3.0,Male,21,3.55,23.5,11.0,Yes,4.5,No,,4,4,6.5,6
3.0,Female,22,3.42,23.0,11.5,Yes,,No,,5,5,4.0,4
3.0,Female,23,3.55,6.0,12.0,No,,No,,4,5,3.0,3
3.0,Female,24,3.55,5.0,12.0,No,,Yes,,5,5,4.0,3
3.0,Female,23,3.55,5.0,12.0,No,,No,,3,4,4.0,4
3.0,Male,26,3.55,30.0,80.0,Yes,,No,,5,5,5.0,5
3.0,Male,23,3.55,21.0,12.0,No,,No,,4,4,6.0,9
3.0,Male,25,3.37,10.0,15.0,No,,No,,5,4,6.0,3
3.0,Male,24,3.0,35.0,91.0,No,,No,,5,4,7.0,10
3.0,Male,22,3.15,5.5,13.0,No,,Yes,18.0,5,4,4.5,4
3.0,Male,23,3.55,8.5,12.0,No,,No,,5,4,2.5,4
3.0,Male,22,3.74,6.0,12.0,No,,Yes,20.0,4,2,5.0,6
3.0,Male,22,3.55,16.0,11.5,Yes,5.0,Yes,9.0,3,3,6.0,5
3.0,Female,23,3.55,4.0,12.0,No,,No,,5,4,5.0,4
3.0,Male,23,3.8,10.0,15.0,Yes,10.0,No,,5,3,7.0,8
3.0,Male,23,3.3,3.5,12.0,Yes,2.0,No,,4,4,7.0,9
3.0,Male,23,3.55,8.0,60.0,Yes,5.0,No,,3,4,7.0,6
3.0,Male,23,3.55,8.0,12.0,Yes,2.5,Yes,25.0,4,4,6.0,3
3.0,Female,22,3.54,3.0,12.0,No,,No,,4,5,6.0,5
3.0,Male,23,3.55,10.0,70.0,Yes,5.0,No,,5,5,7.0,8
3.0,Male,24,2.9,16.0,13.0,No,,No,,5,5,4.0,3
3.0,Male,24,3.72,5.0,102.0,Yes,2.0,No,,5,5,6.0,6
3.0,Male,24,3.28,3.5,161.0,No,,No,,5,3,4.0,1
3.0,Male,22,3.86,7.0,10.5,Yes,70.0,No,,4,4,6.0,2
3.0,Male,22,3.66,4.5,12.5,Yes,4.5,Yes,50.5,5,5,7.5,5
3.0,Female,22,3.89,30.0,83.0,Yes,1.5,Yes,20.0,5,5,5.0,8
3.0,Male,23,3.55,15.0,11.5,Yes,20.0,No,,4,4,5.0,2
3.0,Female,22,3.55,14.0,12.0,Yes,6.0,Yes,20.0,5,5,8.0,10
3.0,Male,24,3.5,2.0,15.0,Yes,,No,,3,3,5.0,5
3.0,Male,23,3.55,8.0,14.0,Yes,5.0,No,,5,5,3.0,2
3.0,Male,27,3.56,5.0,10.5,Yes,2.0,No,,5,5,7.0,7
3.0,Male,24,3.55,6.0,12.0,Yes,3.0,No,,4,3,4.0,4
3.0,Male,22,3.55,5.0,3.0,No,0.0,No,0.0,5,5,6.0,6
3.0,Male,22,3.55,6.0,78.0,Yes,1.0,No,,3,3,6.0,6
4.0,Male,25,3.56,18.0,13.0,No,,Yes,18.0,5,3,6.0,8
4.0,Male,23,3.75,0.0,104.0,No,,No,,1,4,8.0,6
4.0,Male,25,3.55,12.0,15.0,No,,Yes,4.0,3,4,3.0,4
4.0,Male,23,3.45,6.0,12.0,Yes,2.0,No,,4,3,9.0,5
4.0,Male,24,4.0,9.0,12.0,Yes,20.0,Yes,20.0,4,2,7.0,7
4.0,Female,22,2.55,0.0,14.0,No,,No,,5,5,3.0,3
4.0,Male,24,3.55,3.5,121.0,No,,No,,3,3,5.5,6
4.0,Male,24,3.56,10.0,11.0,No,,No,,4,4,5.5,9
4.0,Male,24,3.75,3.5,290.0,No,,Yes,20.0,3,4,5.0,4
